"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,Vejen,2.9,2.9,2.6,2.3,2.4,2.5,2.3,2.4,2.6,2.6,2.6,2.8,,2.58
,,Vejle,3.3,3.2,3.1,2.7,2.8,2.8,2.6,2.8,2.8,3,3.1,3.2,,2.95
,,Aabenraa,3.7,3.6,3.5,3.1,3.1,3.2,2.9,3.1,3.3,3.4,3.5,3.5,,3.33
,,Region Midtjylland,3.6,3.7,3.5,3.1,3.1,3.2,3.2,3.4,3.3,3.3,3.3,3.4,,3.34
,,Province Østjylland,3.8,3.8,3.7,3.3,3.4,3.4,3.6,3.7,3.5,3.5,3.5,3.6,,3.57
,,Favrskov,2.6,2.7,2.6,2.2,2.2,2.3,2.1,2.3,2.2,2.3,2.3,2.5,,2.36
,,Hedensted,2.7,2.7,2.5,2.3,2.3,2.2,2,2.2,2.2,2.3,2.5,2.6,,2.38
,,Horsens,3.4,3.4,3.4,3.1,3.1,3.1,2.9,3.2,3.2,3.4,3.5,3.6,,3.28
,,Norddjurs,5,5,4.7,4.2,4.1,4,3.9,4,3.8,3.8,3.9,4,,4.20
,,Odder,3.2,3.1,3.1,2.6,2.7,2.5,2.4,2.6,2.5,2.6,2.7,2.9,,2.74
,,Randers,4,4.2,4,3.6,3.5,3.5,3.4,3.6,3.5,3.6,3.7,3.8,,3.70
,,Samsø,6.9,7.2,6.2,4.6,4.1,2.8,2.6,2.7,3.3,4.4,5.4,5.5,,4.64
,,Silkeborg,3.3,3.3,3.1,2.7,2.8,2.8,2.7,3,2.9,3,3,3.2,,2.98
,,Skanderborg,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.5,,2.23
,,Syddjurs,3.5,3.5,3.4,2.9,3,2.9,2.7,3.1,3.2,3.1,3.1,3.2,,3.13
,,Aarhus,4.4,4.5,4.4,4,4,4.3,4.8,4.8,4.4,4.3,4.2,4.2,,4.36
,,Province Vestjylland,3.2,3.3,3.1,2.8,2.7,2.7,2.5,2.7,2.7,2.8,2.9,3,,2.87
,,Herning,3.5,3.5,3.3,3,3,3.1,2.9,3.1,3,3.1,3.2,3.3,,3.17
,,Holstebro,2.8,2.9,2.8,2.5,2.4,2.3,2.1,2.4,2.4,2.4,2.6,2.8,,2.53
,,Ikast-Brande,3.6,3.6,3.4,3.1,2.9,2.9,2.6,2.9,2.9,3,3.2,3.3,,3.12
,,Lemvig,3.3,3.3,3.1,2.5,2.4,2.2,2.1,2.3,2.4,2.4,2.5,2.9,,2.62
,,Ringkøbing-Skjern,3,2.8,2.7,2.4,2.3,2.2,2,2.3,2.4,2.4,2.6,2.8,,2.49
,,Skive,3,2.9,2.7,2.3,2.2,2.3,2.4,2.4,2.3,2.3,2.4,2.4,,2.47
,,Struer,3.9,4.2,4.2,3.7,3.5,3.4,3.2,3.2,3.3,3.5,3.6,3.6,,3.61
,,Viborg,3.2,3.3,3.2,2.8,2.8,2.8,2.7,3,2.9,3,3,3.1,,2.98
,,Region Nordjylland,4.6,4.6,4.3,3.7,3.7,3.7,3.8,3.9,3.8,3.9,4,4.3,,4.03
,,Province Nordjylland,4.6,4.6,4.3,3.7,3.7,3.7,3.8,3.9,3.8,3.9,4,4.3,,4.03
,,Brønderslev,4.3,4.3,3.9,3.4,3.2,3.2,3,3.3,3.3,3.5,3.6,4,,3.58
,,Frederikshavn,4.9,5.1,4.6,4,3.9,3.5,3.2,3.5,3.6,3.8,4,4.4,,4.04
,,Hjørring,4.6,4.5,4.2,3.6,3.5,3.4,3.3,3.5,3.4,3.6,3.8,4.3,,3.81
,,Jammerbugt,4,3.8,3.4,2.8,2.9,2.8,2.5,2.7,2.8,3.1,3.3,3.7,,3.15
,,Læsø,9.8,9.2,7.5,4.1,3.3,2.7,1.8,2.8,3.4,4.2,6.4,8.3,,5.29
,,Mariagerfjord,4.3,4.4,4.1,3.6,3.6,3.5,3.1,3.2,3.2,3.4,3.6,3.9,,3.66
,,Morsø,3.8,3.8,3.4,2.8,2.6,2.7,2.2,2.5,2.8,2.7,2.9,3.3,,2.96
,,Rebild,3.3,3.4,3.3,2.7,2.7,2.6,2.5,2.9,2.8,2.9,3,3.3,,2.95
,,Thisted,3.7,3.8,3.5,3,2.8,2.7,2.5,2.8,3,3.1,3.3,3.5,,3.14
,,Vesthimmerlands,4.4,4.4,4.1,3.6,3.5,3.5,3.2,3.7,3.7,3.8,3.9,4.1,,3.83
,,Aalborg,5,5.1,4.8,4.3,4.3,4.5,5.1,5.2,4.8,4.8,4.8,4.8,,4.79
,,Unknown municipality,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
,,Abroad,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
,,,,,,,,,,,,,,,,
Gross unemployment has been severely affected by the COVID-19 shutdown from March 2020. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,All Denmark,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,,
,,Region Hovedstaden,3.9,3.9,4.2,4.9,5.1,5,4.8,4.6,4.4,4.3,4.3,4.4,,4.48
,,Province Byen København,3.9,3.9,4.2,5,5.3,5.3,5.2,5,4.9,4.8,4.7,4.8,,4.75
,,Copenhagen,4.3,4.3,4.7,5.6,6,6,6.1,5.9,5.6,5.5,5.4,5.4,,5.40
,,Frederiksberg,4.5,4.5,4.9,5.9,6.3,6.3,6.4,6.2,5.8,5.7,5.6,5.6,,5.64
,,Dragør,3.7,3.8,4,4.7,5.1,5.2,5.3,5.2,4.9,4.7,4.7,4.6,,4.66
,,Tårnby,2.5,2.5,2.9,3.5,3.8,3.6,3.6,3.8,3.7,3.6,3.6,3.7,,3.40
,,Province Københavns omegn,3.3,3.2,3.5,4.4,4.6,4.5,4.2,4.2,4.4,4.6,4.6,4.7,,4.18
,,Albertslund,3.8,3.8,4.1,4.9,5.2,5.2,4.9,4.8,4.8,4.8,4.7,4.7,,4.64
,,Ballerup,5,5.1,5.5,6.6,6.9,6.8,6.5,6.1,6,5.9,5.6,5.7,,5.98
,,Brøndby,3.5,3.5,3.8,4.6,4.9,4.8,4.4,4.2,4.2,4.1,4,4,,4.17
,,Gentofte,6,6.1,6.6,7.6,8,7.9,7.7,7.5,7.4,7.4,7.5,7.6,,7.28
,,Gladsaxe,2.9,2.9,3.1,3.6,4,3.9,3.8,3.7,3.8,3.7,3.7,3.8,,3.58
,,Glostrup,3.3,3.2,3.5,4.2,4.4,4.4,4.2,4.2,4.2,4.2,4.1,4,,3.99
,,Herlev,3.6,3.8,4.1,4.9,5.3,5.3,5.1,4.9,5,4.9,4.7,4.6,,4.68
,,Hvidovre,2.9,3,3.2,4,4.1,4.2,4.1,4,3.9,3.8,4,4.1,,3.78
,,Høje-Taastrup,3.6,3.7,3.9,4.7,5,5,4.8,4.6,4.5,4.4,4.4,4.6,,4.43
,,Ishøj,4.6,4.6,5,5.9,6.1,6.2,5.9,5.8,5.9,5.8,5.6,5.7,,5.59
,,Lyngby-Taarbæk,5.9,5.8,6.4,7.5,8,8,7.5,7.2,7.2,7.1,7.2,7.3,,7.09
,,Rødovre,2.7,2.8,2.9,3.3,3.6,3.6,3.4,3.5,3.6,3.5,3.4,3.3,,3.30
,,Vallensbæk,4.4,4.4,4.8,5.7,6.1,6.2,6,5.9,6,5.9,5.6,5.6,,5.55
,,Province Nordsjælland,3.4,3.6,3.9,4.6,4.7,4.6,4.5,4.2,4.4,4.3,4.2,4.2,,4.22
,,Allerød,2.9,2.9,3.1,3.6,3.9,3.8,3.6,3.5,3.5,3.4,3.3,3.4,,3.41
,,Egedal,2.3,2.3,2.6,2.9,3.1,3.2,3,2.9,2.9,2.8,2.6,2.7,,2.78
,,Fredensborg,2.8,2.7,2.7,3.1,3.4,3.4,3.2,3.1,3.2,3.2,3,3.1,,3.08
,,Frederikssund,2.9,2.9,3.2,3.8,3.9,4,3.6,3.7,3.6,3.5,3.5,3.6,,3.52
,,Furesø,3,3,3.2,3.7,4,3.9,3.6,3.4,3.4,3.3,3.2,3.3,,3.42
,,Gribskov,2.7,2.8,3.1,3.5,3.7,3.7,3.4,3.5,3.6,3.4,3.4,3.4,,3.35
,,Halsnæs,2.9,2.9,3.3,3.8,3.9,3.7,3.3,3.3,3.1,3,3,3.1,,3.28
,,Helsingør,3.5,3.5,3.6,4.4,4.6,4.4,4.1,4,3.8,3.8,3.7,4,,3.95
,,Hillerød,3.9,3.9,4.1,4.7,5.1,4.8,4.6,4.4,4.3,4.3,4.3,4.4,,4.40
,,Hørsholm,2.5,2.5,2.7,3.2,3.5,3.5,3.2,3.2,3.1,3.1,3.1,3.2,,3.07
,,Rudersdal,2.5,2.7,2.8,3.2,3.7,3.9,3.6,3.8,3.7,3.6,3.5,3.5,,3.38
,,Province Bornholm,2.5,2.5,2.7,3.1,3.4,3.4,3.2,3.3,3.2,3.1,3,3.1,,3.04
