date,country,mortality,day,month
2020-08-23,Bulgaria,2.7428571428571433,23,8
2020-08-30,Bulgaria,4.257142857142857,30,8
2020-09-06,Bulgaria,4.65,6,9
2020-09-13,Bulgaria,3.392857142857143,13,9
2020-09-20,Bulgaria,1.2642857142857145,20,9
2020-09-27,Bulgaria,1.457142857142856,27,9
2020-10-04,Bulgaria,1.3285714285714292,4,10
2020-10-11,Bulgaria,3.5357142857142847,11,10
2020-10-18,Bulgaria,3.507142857142856,18,10
2020-10-25,Bulgaria,11.385714285714284,25,10
2020-11-01,Bulgaria,23.042857142857144,1,11
2020-11-08,Bulgaria,40.464285714285715,8,11
2020-11-15,Bulgaria,65.1,15,11
2020-11-22,Bulgaria,83.10000000000001,22,11
2020-11-29,Bulgaria,94.07142857142857,29,11
2020-12-06,Bulgaria,92.8,6,12
2020-12-13,Bulgaria,77.72857142857143,13,12
2020-12-20,Bulgaria,61.357142857142854,20,12
2020-12-27,Bulgaria,31.707142857142856,27,12
2021-01-03,Bulgaria,29.107142857142858,3,1
2021-01-10,Bulgaria,1.3928571428571423,10,1
2021-01-17,Bulgaria,-3.1785714285714284,17,1
2021-01-24,Bulgaria,-0.17142857142857107,24,1
2021-01-31,Bulgaria,-1.8499999999999983,31,1
2021-02-07,Bulgaria,-2.8000000000000003,7,2
2021-02-14,Bulgaria,1.9642857142857153,14,2
2021-02-21,Bulgaria,6.6642857142857155,21,2
2021-02-28,Bulgaria,10.528571428571427,28,2
2021-03-07,Bulgaria,16.857142857142858,7,3
2021-03-14,Bulgaria,26.685714285714287,14,3
2021-03-21,Bulgaria,42.30714285714286,21,3
2021-03-28,Bulgaria,54.128571428571426,28,3
2021-04-04,Bulgaria,67.75714285714285,4,4
2021-04-11,Bulgaria,58.80714285714286,11,4
2021-04-18,Bulgaria,59.271428571428565,18,4
2021-04-25,Bulgaria,48.67142857142857,25,4
2021-05-02,Bulgaria,38.55714285714286,2,5
2021-05-09,Bulgaria,27.821428571428573,9,5
2021-05-16,Bulgaria,18.449999999999996,16,5
2021-05-23,Bulgaria,13.72857142857143,23,5
2021-05-30,Bulgaria,7.321428571428572,30,5
2021-06-06,Bulgaria,4.799999999999999,6,6
2021-06-13,Bulgaria,4.792857142857144,13,6
2021-06-20,Bulgaria,3.164285714285714,20,6
2021-06-27,Bulgaria,11.55,27,6
2021-07-04,Bulgaria,6.278571428571429,4,7
2021-07-11,Bulgaria,7.000000000000001,11,7
2021-07-18,Bulgaria,5.0857142857142845,18,7
2021-07-25,Bulgaria,1.9285714285714293,25,7
2021-08-01,Bulgaria,4.171428571428572,1,8
2021-08-08,Bulgaria,9.749999999999998,8,8
2021-08-15,Bulgaria,10.664285714285715,15,8
2021-08-22,Bulgaria,7.57142857142857,22,8
2021-08-29,Bulgaria,17.992857142857144,29,8
2021-09-05,Bulgaria,23.150000000000002,5,9
2021-09-12,Bulgaria,29.435714285714287,12,9
2021-09-19,Bulgaria,38.035714285714285,19,9
2021-09-26,Bulgaria,33.76428571428571,26,9
2021-10-03,Bulgaria,36.635714285714286,3,10
2021-10-10,Bulgaria,39.4,10,10
2021-10-17,Bulgaria,49.892857142857146,17,10
2021-10-24,Bulgaria,62.221428571428575,24,10
2021-10-31,Bulgaria,69.49285714285715,31,10
2020-01-05,Switzerland,-5.946153846153847,5,1
2020-01-12,Switzerland,-4.36923076923077,12,1
2020-01-19,Switzerland,-2.730769230769231,19,1
2020-01-26,Switzerland,-1.5999999999999999,26,1
2020-02-02,Switzerland,-1.5769230769230778,2,2
2020-02-09,Switzerland,-4.0769230769230775,9,2
2020-02-16,Switzerland,-4.753846153846154,16,2
2020-02-23,Switzerland,-5.346153846153845,23,2
2020-03-01,Switzerland,-6.630769230769231,1,3
2020-03-08,Switzerland,-3.469230769230769,8,3
2020-03-15,Switzerland,0.29230769230769316,15,3
2020-03-22,Switzerland,7.315384615384615,22,3
2020-03-29,Switzerland,13.346153846153847,29,3
2020-04-05,Switzerland,22.276923076923076,5,4
2020-04-12,Switzerland,15.838461538461539,12,4
2020-04-19,Switzerland,13.376923076923076,19,4
2020-04-26,Switzerland,6.861538461538463,26,4
2020-05-03,Switzerland,0.8538461538461539,3,5
2020-05-10,Switzerland,-0.461538461538461,10,5
2020-05-17,Switzerland,-0.8076923076923079,17,5
2020-05-24,Switzerland,-0.661538461538461,24,5
2020-05-31,Switzerland,-2.06923076923077,31,5
2020-06-07,Switzerland,0.33076923076923015,7,6
2020-06-14,Switzerland,0.5230769230769227,14,6
2020-06-21,Switzerland,-0.9615384615384623,21,6
2020-06-28,Switzerland,-0.45384615384615373,28,6
2020-07-05,Switzerland,-0.42307692307692224,5,7
2020-07-12,Switzerland,-0.3230769230769227,12,7
2020-07-19,Switzerland,-4.153846153846152,19,7
2020-07-26,Switzerland,-1.369230769230769,26,7
2020-08-02,Switzerland,4.184615384615386,2,8
2020-08-09,Switzerland,0.27692307692307633,9,8
2020-08-16,Switzerland,2.553846153846154,16,8
2020-08-23,Switzerland,1.600000000000001,23,8
2020-08-30,Switzerland,0.29999999999999993,30,8
2020-09-06,Switzerland,-0.02307692307692262,6,9
2020-09-13,Switzerland,2.5538461538461528,13,9
2020-09-20,Switzerland,1.284615384615385,20,9
2020-09-27,Switzerland,1.3692307692307688,27,9
2020-10-04,Switzerland,-0.46153846153846195,4,10
2020-10-11,Switzerland,3.4769230769230757,11,10
2020-10-18,Switzerland,1.7615384615384606,18,10
2020-10-25,Switzerland,9.792307692307693,25,10
2020-11-01,Switzerland,17.092307692307692,1,11
2020-11-08,Switzerland,31.123076923076926,8,11
2020-11-15,Switzerland,33.223076923076924,15,11
2020-11-22,Switzerland,33.815384615384616,22,11
2020-11-29,Switzerland,30.207692307692305,29,11
2020-12-06,Switzerland,32.9,6,12
2020-12-13,Switzerland,34.184615384615384,13,12
2020-12-20,Switzerland,31.476923076923075,20,12
2020-12-27,Switzerland,28.069230769230767,27,12
2021-01-03,Switzerland,25.53846153846154,3,1
2021-01-10,Switzerland,16.361538461538462,10,1
2021-01-17,Switzerland,11.63076923076923,17,1
2021-01-24,Switzerland,10.346153846153847,24,1
2021-01-31,Switzerland,5.6692307692307695,31,1
2021-02-07,Switzerland,-1.3846153846153855,7,2
2021-02-14,Switzerland,-3.769230769230769,14,2
2021-02-21,Switzerland,-8.13846153846154,21,2
2021-02-28,Switzerland,-7.8076923076923075,28,2
2021-03-07,Switzerland,-9.4,7,3
2021-03-14,Switzerland,-6.392307692307692,14,3
2021-03-21,Switzerland,-6.3999999999999995,21,3
2021-03-28,Switzerland,-2.8769230769230774,28,3
2021-04-04,Switzerland,-1.8076923076923068,4,4
2021-04-11,Switzerland,-1.8384615384615393,11,4
2021-04-18,Switzerland,0.4923076923076927,18,4
2021-04-25,Switzerland,0.6076923076923066,25,4
2021-05-02,Switzerland,2.66923076923077,2,5
2021-05-09,Switzerland,-0.5307692307692307,9,5
2021-05-16,Switzerland,2.2692307692307696,16,5
2021-05-23,Switzerland,0.46153846153846134,23,5
2021-05-30,Switzerland,-0.23846153846153792,30,5
2021-06-06,Switzerland,2.007692307692307,6,6
2021-06-13,Switzerland,-2.2076923076923083,13,6
2021-06-20,Switzerland,2.138461538461538,20,6
2021-06-27,Switzerland,0.4615384615384607,27,6
2021-07-04,Switzerland,-0.7615384615384614,4,7
2021-07-11,Switzerland,-1.1923076923076914,11,7
2021-07-18,Switzerland,-0.36153846153846114,18,7
2021-07-25,Switzerland,-0.4615384615384605,25,7
2021-08-01,Switzerland,-1.4846153846153842,1,8
2021-08-08,Switzerland,-0.5846153846153839,8,8
2021-08-15,Switzerland,5.43076923076923,15,8
2021-08-22,Switzerland,2.707692307692308,22,8
2021-08-29,Switzerland,2.1384615384615393,29,8
2021-09-05,Switzerland,5.838461538461539,5,9
2021-09-12,Switzerland,6.015384615384615,12,9
2021-09-19,Switzerland,5.092307692307691,19,9
2021-09-26,Switzerland,3.130769230769231,26,9
2021-10-03,Switzerland,2.6384615384615375,3,10
2021-10-10,Switzerland,-1.3846153846153852,10,10
2021-10-17,Switzerland,1.7846153846153832,17,10
2021-10-24,Switzerland,1.9153846153846144,24,10
2021-10-31,Switzerland,3.4076923076923085,31,10
2020-01-05,Cyprus,21.19999999999999,5,1
2020-01-12,Cyprus,15.199999999999989,12,1
2020-01-19,Cyprus,26.80000000000001,19,1
2020-01-26,Cyprus,11.199999999999989,26,1
2020-02-02,Cyprus,21.19999999999999,2,2
2020-02-09,Cyprus,-6.599999999999994,9,2
2020-02-16,Cyprus,-23.0,16,2
2020-02-23,Cyprus,15.599999999999994,23,2
2020-03-01,Cyprus,4.199999999999989,1,3
2020-03-08,Cyprus,-6.0,8,3
2020-03-15,Cyprus,6.599999999999994,15,3
2020-03-22,Cyprus,18.200000000000003,22,3
2020-03-29,Cyprus,24.0,29,3
2020-04-05,Cyprus,17.200000000000003,5,4
2020-04-12,Cyprus,-3.5999999999999943,12,4
2020-04-19,Cyprus,9.799999999999997,19,4
2020-04-26,Cyprus,-0.7999999999999972,26,4
2020-05-03,Cyprus,5.799999999999997,3,5
2020-05-10,Cyprus,9.0,10,5
2020-05-17,Cyprus,43.2,17,5
2020-05-24,Cyprus,76.6,24,5
2020-05-31,Cyprus,6.400000000000006,31,5
2020-06-07,Cyprus,30.799999999999997,7,6
2020-06-14,Cyprus,3.4000000000000057,14,6
2020-06-21,Cyprus,-3.4000000000000057,21,6
2020-06-28,Cyprus,4.599999999999994,28,6
2020-07-05,Cyprus,12.200000000000003,5,7
2020-07-12,Cyprus,-4.0,12,7
2020-07-19,Cyprus,7.200000000000003,19,7
2020-07-26,Cyprus,15.599999999999994,26,7
2020-08-02,Cyprus,11.200000000000003,2,8
2020-08-09,Cyprus,-18.0,9,8
2020-08-16,Cyprus,7.0,16,8
2020-08-23,Cyprus,8.400000000000006,23,8
2020-08-30,Cyprus,2.799999999999997,30,8
2020-09-06,Cyprus,-2.0,6,9
2020-09-13,Cyprus,18.799999999999997,13,9
2020-09-20,Cyprus,4.0,20,9
2020-09-27,Cyprus,3.200000000000003,27,9
2020-10-04,Cyprus,15.200000000000003,4,10
2020-10-11,Cyprus,5.200000000000003,11,10
2020-10-18,Cyprus,10.799999999999997,18,10
2020-10-25,Cyprus,19.599999999999994,25,10
2020-11-01,Cyprus,3.5999999999999943,1,11
2020-11-08,Cyprus,12.799999999999997,8,11
2020-11-15,Cyprus,14.200000000000003,15,11
2020-11-22,Cyprus,6.400000000000006,22,11
2020-11-29,Cyprus,16.200000000000003,29,11
2020-12-06,Cyprus,21.0,6,12
2020-12-13,Cyprus,40.2,13,12
2020-12-20,Cyprus,22.19999999999999,20,12
2020-12-27,Cyprus,17.400000000000006,27,12
2021-01-03,Cyprus,54.0,3,1
2021-01-10,Cyprus,36.19999999999999,10,1
2021-01-17,Cyprus,-16.80000000000001,17,1
2021-01-24,Cyprus,2.8000000000000114,24,1
2021-01-31,Cyprus,14.199999999999989,31,1
2021-02-07,Cyprus,6.199999999999989,7,2
2021-02-14,Cyprus,-37.599999999999994,14,2
2021-02-21,Cyprus,0.0,21,2
2021-02-28,Cyprus,-4.400000000000006,28,2
2021-03-07,Cyprus,-11.800000000000011,7,3
2021-03-14,Cyprus,-4.0,14,3
2021-03-21,Cyprus,11.599999999999994,21,3
2021-03-28,Cyprus,4.200000000000003,28,3
2021-04-04,Cyprus,23.0,4,4
2021-04-11,Cyprus,32.2,11,4
2021-04-18,Cyprus,48.400000000000006,18,4
2021-04-25,Cyprus,30.799999999999997,25,4
2021-05-02,Cyprus,25.200000000000003,2,5
2021-05-09,Cyprus,39.8,9,5
2021-05-16,Cyprus,9.0,16,5
2021-05-23,Cyprus,-2.799999999999997,23,5
2021-05-30,Cyprus,13.599999999999994,30,5
2021-06-06,Cyprus,13.400000000000006,6,6
2021-06-13,Cyprus,15.799999999999997,13,6
2021-06-20,Cyprus,14.400000000000006,20,6
2021-06-27,Cyprus,1.5999999999999943,27,6
2021-07-04,Cyprus,34.599999999999994,4,7
2021-07-11,Cyprus,29.200000000000003,11,7
