country_region_code,variable,value,wave
Spain,Parks,-1.8010507453852271,Second wave
Spain,Residential,7.300781626942005,Second wave
Spain,Retail and recreation,-33.105937791501816,Second wave
Spain,Transit stations,-24.554227624373897,Second wave
Spain,Workplaces,-19.12955661855594,Second wave
Finland,Grocery and pharmacy,0.6867011308358753,Second wave
Finland,Parks,30.984946616941198,Second wave
Finland,Residential,6.243008701762099,Second wave
Finland,Retail and recreation,-12.476560697065421,Second wave
Finland,Transit stations,-36.525957681604446,Second wave
Finland,Workplaces,-15.254853411757882,Second wave
France,Grocery and pharmacy,-0.19960241278468732,Second wave
France,Parks,13.165786637738002,Second wave
France,Residential,7.959917220231779,Second wave
France,Retail and recreation,-30.633830801669053,Second wave
France,Transit stations,-19.22992667654616,Second wave
France,Workplaces,-23.74889143853654,Second wave
United Kingdom,Grocery and pharmacy,-9.268239055348978,Second wave
United Kingdom,Parks,22.893568906895357,Second wave
United Kingdom,Residential,13.431534917504615,Second wave
United Kingdom,Retail and recreation,-39.222515851488744,Second wave
United Kingdom,Transit stations,-42.27869896505729,Second wave
United Kingdom,Workplaces,-35.736178872106116,Second wave
Greece,Grocery and pharmacy,9.636988737403676,Second wave
Greece,Parks,27.80023710729105,Second wave
Greece,Residential,6.7053941908713695,Second wave
Greece,Retail and recreation,-36.277316735822964,Second wave
Greece,Transit stations,-31.91464137522229,Second wave
Greece,Workplaces,-25.981624184943687,Second wave
Croatia,Grocery and pharmacy,4.27055120531814,Second wave
Croatia,Parks,28.398096264367815,Second wave
Croatia,Residential,3.5040591387937967,Second wave
Croatia,Retail and recreation,-22.819612828752376,Second wave
Croatia,Transit stations,-22.411706970153457,Second wave
Croatia,Workplaces,-21.06219867615096,Second wave
Hungary,Grocery and pharmacy,2.0595895623630938,Second wave
Hungary,Parks,29.236253712184272,Second wave
Hungary,Residential,6.8940258668802015,Second wave
Hungary,Retail and recreation,-16.335804760864818,Second wave
Hungary,Transit stations,-12.820539419087137,Second wave
Hungary,Workplaces,-20.05391885661595,Second wave
Ireland,Grocery and pharmacy,0.7090328758378552,Second wave
Ireland,Parks,1.7377620954525754,Second wave
Ireland,Residential,11.097560758743331,Second wave
Ireland,Retail and recreation,-35.10434780295776,Second wave
Ireland,Transit stations,-44.92428797973291,Second wave
Ireland,Workplaces,-31.130400882512696,Second wave
Italy,Grocery and pharmacy,-5.3568787818642125,Second wave
Italy,Parks,1.3221917434040396,Second wave
Italy,Residential,9.581092930400063,Second wave
Italy,Retail and recreation,-30.563661258148684,Second wave
Italy,Transit stations,-32.328046602902674,Second wave
Italy,Workplaces,-23.829546026606863,Second wave
Liechtenstein,Grocery and pharmacy,,Second wave
Liechtenstein,Parks,,Second wave
Liechtenstein,Residential,,Second wave
Liechtenstein,Retail and recreation,-42.333333333333336,Second wave
Liechtenstein,Transit stations,-26.75,Second wave
