2020-01-26,2020-02-02,2020-02-08,2020-02-16,2020-02-23,2020-03-05,2020-03-15,2020-03-22,2020-03-29,2020-04-10,2020-04-19,2020-04-26,2020-05-01,2020-05-04,2020-05-07,2020-05-17,2020-05-24,2020-05-31,2020-06-09,2020-06-12,2020-06-14,2020-06-21,2020-06-28,2020-07-06,2020-07-19,2020-07-26,2020-08-03,2020-08-11,2020-08-16,2020-08-23,2020-08-30,2020-09-02,2020-09-08,2020-09-13,2020-09-20,2020-09-27,2020-10-05,2020-10-18,2020-10-25,2020-11-10,2020-11-15,2020-11-22,2020-11-29,2020-12-01,2020-12-04,2020-12-07,2020-12-13,2020-12-20,2020-12-27,2021-01-08,2021-01-17,2021-01-24,2021-01-31,2021-02-05,2021-02-14,2021-02-21,2021-02-28,2021-03-01,2021-03-10,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-07,2021-04-18,2021-04-25,2021-05-09,2021-05-12,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-02,2021-07-03,2021-07-11,2021-07-18,2021-07-25,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-19,2021-09-26,2021-10-01,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-04,2021-11-07,2021-11-14,2021-11-21,2021-11-28,x,y
0,0,48,0,0,17,2,1,5,48,13,14,0,12,27,17,22,10,63,983,14,25,20,20,32,40,0,367,51,47,68,0,59,44,41,35,18,94,108,48,465,750,934,0,9,22,891,921,555,21,357,337,225,585,293,230,337,514,549,671,734,691,879,57,777,712,384,751,330,237,166,158,80,90,37,286,423,1075,34,20,40,89,131,256,437,506,461,448,618,618,799,926,829,56,1205,974,848,25.23564657,42.75839874
0,0,1,0,0,18,5,18,45,1,44,43,0,69,0,1,0,0,2,55,0,1,1,0,0,0,0,51,2,0,1,0,0,2,2,5,2,4,14,2,83,64,77,0,54,0,54,26,29,21,23,11,17,3,9,8,9,21,549,14,13,12,8,0,5,5,384,751,2,1,4,2,1,1,1,12,9,1075,34,20,40,89,131,256,2,506,461,18,618,618,799,926,9,56,1205,974,848,6.649546191,46.56961442
0,0,0,0,0,9,3,5,18,0,15,22,0,25,0,2,2,0,0,26,1,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,6,8,29,2,56,53,47,0,31,0,15,10,13,0,16,21,17,3,10,10,4,16,1,1,2,1,1,0,3,6,0,751,1,2,2,0,0,1,0,20,3,1,0,0,0,0,0,0,2,2,1,19,0,1,0,1,1,0,1,11,2,7.605559111,46.20840897
0,0,1,0,0,13,4,6,39,3,37,29,0,60,0,4,4,1,4,34,1,0,0,0,0,0,0,52,1,0,0,0,0,2,2,2,12,5,6,2,72,77,42,0,73,0,14,16,16,0,7,7,4,4,4,4,2,17,1,0,0,3,2,0,1,2,0,751,1,1,0,0,0,0,0,9,4,0,0,0,1,1,1,0,2,2,2,13,0,0,1,1,4,0,0,1,0,6.129427638,46.21389836
0,0,0,0,0,3,0,6,9,1,16,12,0,17,0,0,1,1,0,68,0,0,0,0,0,0,0,59,0,1,0,0,1,0,1,1,2,2,15,1,77,63,74,0,25,0,58,72,65,2,41,52,45,5,20,8,8,76,3,7,4,8,7,0,6,6,17,751,2,7,3,6,1,1,0,18,6,6,1,2,0,0,5,12,3,2,4,62,7,3,4,4,3,1,4,8,11,7.623891821,46.82273245
0,0,0,0,0,2,0,3,12,0,17,6,0,25,0,1,0,0,2,19,0,0,1,0,0,0,0,60,0,0,0,0,0,1,13,1,4,4,11,1,67,43,29,0,14,0,18,19,5,0,10,11,11,1,4,2,2,10,1,4,0,1,2,0,2,0,0,751,1,2,1,0,0,1,4,6,3,1,0,0,0,0,0,0,5,4,1,7,1,0,1,0,1,0,6,1,11,7.074402043,46.71819559
0,0,0,0,0,0,0,3,1,0,4,4,0,1,0,0,1,1,0,25,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,16,12,0,4,0,25,37,30,0,14,7,2,0,0,1,6,24,1,1,0,1,0,0,1,1,0,751,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,5,5,1,4,1,0,1,0,5,0,0,1,3,7.639971764,47.30574682
0,0,0,0,0,4,0,3,14,2,14,11,0,14,0,1,0,0,1,36,0,0,0,0,0,0,0,27,0,0,0,0,1,1,0,2,1,3,6,4,25,30,31,0,21,0,21,20,10,0,12,4,6,1,9,8,5,14,0,6,0,2,1,0,1,0,0,751,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,11,1,0,1,1,1,0,0,1,0,6.788327984,46.99683372
0,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,9,0,17,16,6,0,3,0,12,3,1,0,1,7,3,1,5,1,1,4,0,0,1,0,2,0,1,1,1,751,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,4,9,1,1,4,0,0,0,0,2,0,0,0,2,7.151365409,47.35385214
0,0,0,0,0,4,0,1,10,0,7,6,0,11,0,0,0,0,0,15,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,10,9,0,7,0,18,16,13,2,6,5,5,1,1,2,2,18,1,1,0,1,2,0,1,0,0,751,1,2,1,0,1,0,0,8,0,2,0,0,1,0,2,1,1,0,0,7,0,2,0,0,1,0,6,1,0,7.593840705,47.56093214
0,0,0,0,0,3,1,1,6,0,0,4,0,10,0,1,0,0,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,2,0,10,9,9,0,5,0,21,33,17,0,7,4,4,1,2,0,0,23,0,0,0,2,1,0,2,0,0,751,0,0,0,0,0,1,0,3,2,2,0,0,0,2,3,0,0,0,1,6,1,1,0,1,3,0,3,1,1,7.702839012,47.45431481
0,0,2,0,0,4,0,1,8,1,4,6,0,10,0,2,0,1,0,40,0,1,0,0,0,0,0,22,0,2,0,0,0,1,1,0,3,2,1,1,24,36,40,0,8,0,43,75,83,1,27,24,27,11,7,6,5,51,2,1,7,8,10,0,3,6,4,751,5,2,0,3,1,0,0,10,0,2,0,0,1,0,3,5,1,2,4,41,3,1,1,6,5,0,5,6,1,8.15881227,47.40959331
0,0,0,0,0,9,0,5,16,1,27,11,0,30,1,1,3,0,0,86,0,0,0,0,1,2,0,41,1,1,2,0,2,3,0,2,3,5,8,2,56,64,78,0,27,2,121,116,125,2,61,59,37,8,25,15,8,95,10,13,18,13,14,0,10,10,12,751,6,2,4,4,5,3,3,35,9,3,0,0,1,2,6,7,8,8,3,61,4,5,3,4,10,1,10,12,7,8.65398376,47.4118298
0,0,0,0,0,4,0,0,1,0,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,0,0,0,5,2,0,0,5,4,9,1,0,1,2,1,2,0,1,0,0,0,0,0,0,751,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,9.063903044,46.98754351
0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,4,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,0,0,0,6,2,7,0,3,4,0,1,1,0,1,3,0,4,0,0,2,0,0,0,0,751,0,1,0,1,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,5,1,0,8.586085765,47.71319438
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,8,7,0,0,0,2,2,5,0,5,5,0,1,1,0,1,0,0,4,0,0,2,0,0,0,0,751,0,1,0,1,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,5,1,0,9.359639338,47.36180901
