"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,,1.8,1.7,2.1,2.3,2.2,2.1,2,1.7,1.4,1.4,1.3,1.3,,1.78
,,,1.4,1.6,1.7,2.2,2.1,2,2,1.8,1.8,1.8,1.9,1.9,,1.85
,,,1.5,1.7,1.9,2.3,2.5,2.5,2.6,1.9,2,2.2,2,1.7,,2.07
,,,1.4,1.5,1.5,1.9,1.9,1.9,2.3,2.1,1.7,1.5,1.4,1.5,,1.72
,,,1.8,1.9,2,2.2,2.4,2.3,2,2.2,2,1.9,1.8,1.9,,2.03
,,,2.3,2.4,2.5,3.1,3,3,2.7,2.3,2,1.9,1.9,2,,2.43
,,,1.8,2.3,2.2,2.4,2.8,2.5,2.2,2.2,1.9,2,2,1.8,,2.18
,,,2.9,3.2,3,3.8,3.5,3.5,3.3,2.5,2.5,2.5,2.3,2.4,,2.95
,,,1.7,1.8,1.9,2.2,1.9,2.2,1.9,1.7,1.4,1.5,1.3,1.4,,1.74
,,,2.1,2.3,2.6,3.2,3.2,3,2.6,1.9,1.9,1.7,2.1,2.2,,2.40
,,,3,2.8,2.8,3.1,3.3,3.4,3.3,3.3,3.2,2.9,2.8,2.7,,3.05
,,,2.4,2.5,2.6,3.1,3.1,3.1,2.8,2.2,1.8,1.8,1.7,1.9,,2.42
,,,2.4,2.9,2.8,3.2,3.3,3.2,2.7,2.7,2.7,2.4,2.6,2.7,,2.80
,,,1.3,1.4,1.8,2.2,2.2,2.1,2,1.8,1.6,1.3,1.5,1.6,,1.73
,,,2.6,2.8,2.7,3.4,3.5,3.4,3.5,2.8,2.1,2.2,2.1,2.3,,2.78
,,,2.7,3.1,3.4,4.8,4.8,4.4,2.5,2.6,2.1,2.2,2.1,2.3,,3.08
,,,2.1,1.9,2.7,3.5,3,3.2,2.2,1.9,1.4,1.1,1.5,1.6,,2.18
,,,2,2.2,2.3,2.3,2.5,2.8,2.3,2,1.5,1.7,1.6,1.4,,2.05
,,,2.1,2.2,2.3,2.8,2.8,2.8,2.7,2.4,2,1.9,1.8,1.8,,2.30
,,,2.4,2.5,2.6,3.1,3,3.1,3.1,2.7,2.2,2,1.9,2,,2.55
,,,2.6,2.9,3.4,3.8,3.9,3.8,2.4,2.1,2,2,2.2,2.2,,2.78
,,,2.2,2.4,2.4,3.1,3,2.8,2.5,2.4,2.3,2.4,2.3,2.7,,2.54
,,,2.2,2.6,2.3,2.8,3.2,2.9,2.1,1.8,1.8,2,2.2,1.9,,2.32
,,,3.5,3.6,3.3,4.8,3.7,2.5,2.5,2.2,3,2.8,2.1,2.2,,3.02
,,,1.4,1.3,1.4,2.2,2.5,1.8,1.7,1.5,1.5,1.5,1.4,1.3,,1.63
,,,2.1,2.2,2.9,3.3,3,3.1,2.3,2.2,2.2,2.1,2.6,2.6,,2.55
,,,3.5,3.4,3.3,3.9,4.1,4.1,3.9,3.4,3.2,2.7,3,2.9,,3.45
,,,2.4,2.6,2.7,3,3,3.3,3.6,3.2,2.3,2,1.8,1.9,,2.65
,,,2.2,1.9,1.9,2.6,2.4,2.6,2.4,2.1,1.9,1.9,1.9,1.6,,2.12
,,,1.8,2.6,2.6,3.9,2.9,1.5,0.5,0.3,0.6,0.5,0.5,0.4,,1.51
,,,2,2,2,2.6,2.7,2.6,2.5,2.2,1.9,1.8,1.7,1.7,,2.14
,,,1.8,2,2.1,2.8,2.8,2.9,2.8,2.4,2.3,2,1.8,2.1,,2.32
,,,2.4,2.4,2.4,2.8,2.6,2.9,3.1,2.5,2.1,2.1,2,2,,2.44
,,,2.3,0.7,1.5,1.7,0.7,0,0,0,0,0,0,0,,0.58
,,,1.9,2.1,2.1,2.4,2.5,2.5,2.5,2.3,2,1.9,1.5,1.4,,2.09
,,,1.8,1.7,1.8,2.7,2.9,2.7,2.5,2.1,1.9,1.7,1.7,1.6,,2.09
,,,2.1,2.2,2.2,3.2,3.3,2.8,2.6,2.4,1.8,1.6,1.3,1.3,,2.23
,,,1.9,1.9,2,2.7,2.8,2.7,2.8,2.3,2.1,2.1,2.2,2.2,,2.31
,,,2.3,2.4,2.3,2.7,2.8,2.5,1.9,1.7,1.7,1.5,1.7,2,,2.13
,,,2.1,1.9,2,2.6,2.4,2.2,2.1,1.6,1.5,1.7,1.6,1.4,,1.93
,,,1.8,1.8,1.7,1.7,2.2,2.1,1.9,1.7,1.8,1.6,1.6,1.3,,1.77
,,,1.5,1.7,1.7,2.2,2.3,2.3,2.2,2.1,1.7,1.7,1.6,1.6,,1.88
,,,2.1,2,2,2.7,2.7,2.6,2.3,1.9,2.2,2,1.9,1.8,,2.18
,,,2,2.1,2.2,2.8,2.8,2.9,3,2.6,2,1.9,1.8,1.8,,2.33
,,,2,2.2,2.3,2.9,2.9,3.1,3.3,2.8,2.2,2,1.9,1.9,,2.46
,,,1.6,1.5,1.7,2.5,2.5,2.4,2.1,2,1.8,1.6,1.5,1.6,,1.90
,,,1.6,1.9,1.9,2.6,2.5,2.3,1.8,1.7,1.9,1.6,1.6,1.5,,1.91
,,,2.2,2.8,3.4,3.8,3.5,3.6,3.4,2.9,2.5,2.4,2.2,2,,2.89
,,,2.7,3,2.5,2.7,3,2.7,2.8,2.4,2.1,2.1,2.4,2.6,,2.58
,,,2.4,2.2,1.7,2.5,2.7,2.4,2.1,1.8,1.4,1.4,1.6,1.5,,1.98
,,,2.4,2.3,2.5,3.7,3.8,4.1,4.2,3.7,2.9,2.7,2.9,2.8,,3.17
,,,1.9,1.8,2.8,2.7,1.2,2.7,3.3,1.3,1.9,2.1,3.9,2.1,,2.31
,,,1.8,1.9,2,2.6,2.4,2.3,2.4,2.1,1.6,1.6,1.6,1.5,,1.98
,,,1.6,1.5,1.6,2.1,2.3,2,2,1.5,1.5,1.5,1.5,1.4,,1.71
,,,1.9,1.9,1.9,2.3,2.4,2.4,1.9,1.6,1.6,1.4,1.4,1.5,,1.85
,,,2,2.2,2.3,2.9,2.9,3.2,3.8,3.2,2.3,2,1.9,1.8,,2.54
,,,1.9,1.9,1.9,2.5,2.6,2.4,2.2,2,1.7,1.6,1.5,1.6,,1.98
,,,1.9,1.9,1.9,2.3,2.4,2.3,2.3,2,1.4,1.4,1.3,1.5,,1.88
,,,1.5,1.6,1.8,2.3,2.5,2.5,2.2,1.9,1.7,1.7,1.6,1.5,,1.90
,,,2.4,2.8,2.9,3.7,3.4,3.2,3.2,2.9,2.4,2.2,2,2.2,,2.78
,,,1.6,1.9,2,2.5,2.2,1.8,1.9,1.7,1.4,1.4,1.3,1.5,,1.77
