country_region_code,variable,value,wave
NL,Transit stations,-39.96154406005022,Second wave
NL,Workplaces,-23.158765651181294,Second wave
NO,Grocery and pharmacy,-1.546024868044949,Second wave
NO,Parks,10.6375806239322,Second wave
NO,Residential,7.120176335317298,Second wave
NO,Retail and recreation,-12.38172127246466,Second wave
NO,Transit stations,-37.21137928807911,Second wave
NO,Workplaces,-19.568540203424394,Second wave
PL,Grocery and pharmacy,3.0026806048211796,Second wave
PL,Parks,6.821619396488163,Second wave
PL,Residential,6.110140110903431,Second wave
PL,Retail and recreation,-16.013825341940834,Second wave
PL,Transit stations,-21.967600377728765,Second wave
PL,Workplaces,-17.23302710895771,Second wave
PT,Grocery and pharmacy,-1.7690641294656484,Second wave
PT,Parks,-14.71806830059984,Second wave
PT,Residential,12.875418744972679,Second wave
PT,Retail and recreation,-32.021102700893486,Second wave
PT,Transit stations,-34.61428117639613,Second wave
PT,Workplaces,-23.73985726803269,Second wave
RO,Grocery and pharmacy,0.9796815616411485,Second wave
RO,Parks,-14.989705792204095,Second wave
RO,Residential,4.681783072608414,Second wave
RO,Retail and recreation,-21.475958488690218,Second wave
RO,Transit stations,-24.385154566631336,Second wave
RO,Workplaces,-20.348237239147384,Second wave
SE,Grocery and pharmacy,-5.584887208272158,Second wave
SE,Parks,15.02344381953913,Second wave
SE,Residential,8.034531833797335,Second wave
SE,Retail and recreation,-14.743814670363793,Second wave
SE,Transit stations,-34.11702189932825,Second wave
SE,Workplaces,-20.07079716171974,Second wave
SI,Grocery and pharmacy,-22.46340718715017,Second wave
SI,Parks,-14.401277709359606,Second wave
SI,Residential,10.290999653429349,Second wave
SI,Retail and recreation,-41.01953568245961,Second wave
SI,Transit stations,-33.53395556698696,Second wave
SI,Workplaces,-26.21387889390765,Second wave
SK,Grocery and pharmacy,-5.7856577707139145,Second wave
SK,Parks,-12.801772828437413,Second wave
SK,Residential,9.294337667028683,Second wave
SK,Retail and recreation,-37.653801557319454,Second wave
SK,Transit stations,-33.32882932513472,Second wave
SK,Workplaces,-25.41056714907201,Second wave
AT,Grocery and pharmacy,6.424741071413842,Third wave
AT,Parks,47.35021460371277,Third wave
AT,Residential,2.218190427668844,Third wave
AT,Retail and recreation,-0.04017229034536287,Third wave
AT,Transit stations,-1.7075669605907564,Third wave
AT,Workplaces,-20.259706847878025,Third wave
BE,Grocery and pharmacy,20.076315789473682,Third wave
BE,Parks,88.11600877192983,Third wave
BE,Residential,4.731578947368422,Third wave
BE,Retail and recreation,10.307236842105263,Third wave
BE,Transit stations,-8.132894736842106,Third wave
BE,Workplaces,-19.395394736842103,Third wave
BG,Grocery and pharmacy,24.762806352486823,Third wave
BG,Parks,34.373989445660875,Third wave
BG,Residential,-3.427333487542559,Third wave
BG,Retail and recreation,-4.929697728367974,Third wave
BG,Transit stations,11.832495797410454,Third wave
BG,Workplaces,-19.33976580581953,Third wave
CH,Grocery and pharmacy,11.995127484280879,Third wave
CH,Parks,65.16764157853783,Third wave
CH,Residential,2.573641134085213,Third wave
CH,Retail and recreation,-4.374717108804186,Third wave
CH,Transit stations,-7.794999999999999,Third wave
CH,Workplaces,-15.58788195184317,Third wave
CZ,Grocery and pharmacy,29.06419863431311,Third wave
CZ,Parks,61.98066572764817,Third wave
CZ,Residential,1.523985418556082,Third wave
CZ,Retail and recreation,17.336916847171636,Third wave
CZ,Transit stations,21.113916927447512,Third wave
CZ,Workplaces,-12.018871191135736,Third wave
DE,Grocery and pharmacy,20.76644736842105,Third wave
DE,Parks,111.28042763157895,Third wave
DE,Residential,3.2208059210526314,Third wave
DE,Retail and recreation,2.5300164473684212,Third wave
DE,Transit stations,-2.398848684210526,Third wave
DE,Workplaces,-11.946957236842104,Third wave
DK,Grocery and pharmacy,7.1599872608966875,Third wave
DK,Parks,81.13914984075167,Third wave
DK,Residential,1.9700423543258851,Third wave
DK,Retail and recreation,19.612570527915235,Third wave
DK,Transit stations,-4.602957287527717,Third wave
DK,Workplaces,-18.53880198618572,Third wave
EE,Grocery and pharmacy,24.61074561403509,Third wave
EE,Parks,47.12280701754386,Third wave
EE,Residential,0.6925125313283208,Third wave
EE,Retail and recreation,12.785745614035088,Third wave
EE,Transit stations,1.1949561403508773,Third wave
EE,Workplaces,-12.145770676691729,Third wave
ES,Grocery and pharmacy,22.32154149909658,Third wave
ES,Parks,61.13234394124847,Third wave
ES,Residential,0.6000611995104039,Third wave
ES,Retail and recreation,-2.8349143206854346,Third wave
ES,Transit stations,9.806762545899634,Third wave
ES,Workplaces,-14.848837209302324,Third wave
FI,Grocery and pharmacy,15.957896637970682,Third wave
FI,Parks,91.01103947552653,Third wave
FI,Residential,2.224040200708271,Third wave
FI,Retail and recreation,13.76249710875427,Third wave
FI,Transit stations,-22.16476961061686,Third wave
FI,Workplaces,-18.3943439035871,Third wave
FR,Grocery and pharmacy,27.684871672265416,Third wave
FR,Parks,109.22802196176929,Third wave
FR,Residential,1.9001688019390581,Third wave
FR,Retail and recreation,6.773331457756233,Third wave
