NUTS_ID,2020_POP,2020_NEET,2020_EDU,2020_UNEM,2020_YOUTH,2020_EMP
ES52,502.9341,15.8,330.26,390.2,58.8,199.19
ES61,847.8083,21.9,566.3100000000001,866.2,124.9,298.63
ES62,150.4869,15.2,101.61,117.2,21.2,59.82000000000001
FR10,1229.1557,12.3,793.26,485.4,91.5,536.88
FRB0,256.5726,14.1,150.87,98.1,20.3,98.8
FRC1,161.8321,11.9,93.31,53.9,13.0,62.64
FRC2,117.6196,12.8,69.56,28.4,8.0,47.58
FRD1,146.3606,10.3,83.17,36.7,11.8,55.660000000000004
FRD2,184.9826,14.4,112.07000000000001,66.8,18.2,72.72999999999999
FRE1,406.1166,17.6,250.51999999999998,150.7,45.5,149.0
FRE2,192.6629,17.1,116.50999999999999,68.9,15.4,72.13
FRF1,190.8494,15.0,121.10999999999999,64.5,13.4,80.71000000000001
FRF2,131.183,21.3,76.31,60.0,17.2,44.72
FRF3,231.5678,14.2,140.79000000000002,85.2,16.2,87.76
FRG0,381.8421,12.6,228.20999999999998,115.7,32.0,153.67000000000002
FRH0,335.8524,12.0,198.74,94.8,25.1,130.79000000000002
FRI1,347.8538,12.9,209.48000000000002,111.6,27.8,140.12
FRI2,72.6253,13.2,40.57,20.6,5.3,26.130000000000003
FRI3,181.3633,13.1,104.42,67.6,23.8,70.87
FRJ1,286.4782,15.6,168.32999999999998,106.9,21.1,104.27000000000001
FRJ2,308.7068,10.2,187.72,74.9,21.7,125.3
FRK1,137.182,8.7,81.25,32.6,8.7,54.85
FRK2,669.2326,12.1,410.33000000000004,230.5,60.0,278.0
FRL0,507.7582,16.8,297.95,171.8,32.7,193.68
HR03,137.3802,14.0,86.44,43.0,6.4,52.05
ITC1,431.1217,19.8,267.39,144.5,26.4,172.60999999999999
ITC2,12.5034,16.8,7.83,3.3,30.869565217391308,5.2700000000000005
ITC3,152.4826,20.1,92.51,54.4,9.1,58.0
ITC4,1002.7602,17.4,641.26,233.2,49.3,428.86
ITH1,53.2644,12.4,34.08,9.9,2.2,24.6
ITH2,54.5425,14.6,34.29,13.2,2.4,23.080000000000002
ITH3,487.9133,14.7,311.51,130.0,29.8,205.43
ITH4,120.6216,13.6,74.3,30.7,4.5,49.85
ITH5,446.4119,15.9,279.82,120.7,23.8,192.41
ITI1,369.2555,17.0,230.06,112.1,21.3,152.12
ITI2,87.0165,18.7,54.08,31.7,4.7,34.33
ITI3,151.2672,17.9,94.41,49.5,9.7,60.5
ITI4,575.57,22.4,377.09000000000003,233.7,38.2,227.05
ITF1,129.3941,20.7,82.53,50.0,7.5,47.47
ITF2,30.0516,28.3,19.009999999999998,11.1,1.7,10.18
ITF3,571.2143,34.5,383.08000000000004,353.0,63.8,156.51
ITF4,395.3305,29.4,258.03000000000003,199.4,31.5,119.08
ITF5,55.3254,26.3,35.86,17.6,2.7,18.15
ITF6,189.411,34.6,124.13,132.6,21.7,50.980000000000004
LV00,190.7675,11.9,118.99000000000001,78.7,8.8,85.22
LT01,82.0511,7.8,54.17999999999999,32.1,4.1,41.9
LT02,197.3579,15.1,127.00999999999999,93.9,16.1,87.86
LU00,62.6108,7.7,43.13,21.2,5.3,29.0
HU11,175.0216,9.4,110.96,29.4,4.6,82.82000000000001
HU12,129.7102,12.5,84.94,21.2,6.3,60.98
HU21,106.0755,13.2,69.22999999999999,14.4,2.5872,49.6
HU22,99.4549,10.0,64.92999999999999,11.7,2.7720000000000002,47.43
HU23,87.4573,18.5,55.39,20.1,4.0,35.57
HU31,111.8577,20.2,70.9,24.9,5.2,46.28
HU32,144.266,20.5,93.44,49.3,10.2,61.089999999999996
HU33,123.1094,13.7,78.25,26.8,4.7,53.8
NL11,58.5866,7.5,38.55,15.6,6.9,27.75
NL12,64.9957,6.9,40.29,13.1,5.1,31.4
NL13,49.3682,6.4,30.01,9.2,4.0,22.85
NL21,116.2406,5.4,73.62,21.8,8.3,57.910000000000004
NL22,208.5952,5.1,131.78,38.7,14.3,103.22
NL23,42.3021,6.4,27.860000000000003,9.0,3.8,21.77
NL31,131.9231,4.3,85.66,25.4,9.7,68.77000000000001
NL32,287.9527,6.2,188.68,62.8,22.0,147.8
NL33,374.4299,5.6,241.73000000000002,86.9,32.1,184.48
NL34,38.3488,3.9,23.39,5.1,1.8,18.69
NL41,256.2955,5.9,163.93,49.1,18.2,130.98
NL42,111.7201,6.1,70.52000000000001,20.0,6.9,52.48
