DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT1,2016,155864.94,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT1,2017,159941.08,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT1,2018,166154.65,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT1,2019,171326.17,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2010,6698.37,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2011,7012.58,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2012,7365.43,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2013,7539.32,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2014,7737.13,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2015,8040.55,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2016,8351.77,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2017,8752.62,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2018,8981.06,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT11,2019,9272.61,
ESTAT:NAMA_10R_3GDP$DEFAULTVIEW(1.0),14/07/21 23:00:00,A,MIO_EUR,AT111,2010,738.53,
