Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, CENTER, July 2019, Percentage, 2.5
Total, CENTER, August 2019, Percentage, 2.6
Total, CENTER, September 2019, Percentage, 2.5
Total, CENTER, October 2019, Percentage, 2.6
Total, CENTER, November 2019, Percentage, 2.6
Total, CENTER, December 2019, Percentage, 2.6
Total, CENTER, January 2020, Percentage, 2.6
Total, CENTER, February 2020, Percentage, 2.6
Total, CENTER, March 2020, Percentage, 2.5
Total, CENTER, April 2020, Percentage, 2.6
Total, CENTER, May 2020, Percentage, 2.6
Total, CENTER, June 2020, Percentage, 2.7
Total, CENTER, July 2020, Percentage, 3
Total, CENTER, August 2020, Percentage, 3.1
Total, CENTER, September 2020, Percentage, 3.2
Total, CENTER, October 2020, Percentage, 3.2
Total, CENTER, November 2020, Percentage, 3.3
Total, CENTER, December 2020, Percentage, 3.3
Total, Alba, January 2019, Percentage, 3.3
Total, Alba, February 2019, Percentage, 3.4
Total, Alba, March 2019, Percentage, 3.1
Total, Alba, April 2019, Percentage, 2.9
Total, Alba, May 2019, Percentage, 2.8
Total, Alba, June 2019, Percentage, 2.8
Total, Alba, July 2019, Percentage, 2.8
Total, Alba, August 2019, Percentage, 2.9
Total, Alba, September 2019, Percentage, 2.9
Total, Alba, October 2019, Percentage, 3
Total, Alba, November 2019, Percentage, 3.1
Total, Alba, December 2019, Percentage, 3.1
Total, Alba, January 2020, Percentage, 3.2
Total, Alba, February 2020, Percentage, 3.3
Total, Alba, March 2020, Percentage, 3.1
Total, Alba, April 2020, Percentage, 2.9
Total, Alba, May 2020, Percentage, 3.1
Total, Alba, June 2020, Percentage, 3.2
Total, Alba, July 2020, Percentage, 3.4
Total, Alba, August 2020, Percentage, 3.3
Total, Alba, September 2020, Percentage, 3.8
Total, Alba, October 2020, Percentage, 3.8
Total, Alba, November 2020, Percentage, 3.8
Total, Alba, December 2020, Percentage, 3.8
Total, Brasov, January 2019, Percentage, 2.3
Total, Brasov, February 2019, Percentage, 2.3
Total, Brasov, March 2019, Percentage, 2.2
Total, Brasov, April 2019, Percentage, 2.1
Total, Brasov, May 2019, Percentage, 2.1
Total, Brasov, June 2019, Percentage, 2.2
Total, Brasov, July 2019, Percentage, 2.2
Total, Brasov, August 2019, Percentage, 2.2
Total, Brasov, September 2019, Percentage, 2.2
Total, Brasov, October 2019, Percentage, 2.1
Total, Brasov, November 2019, Percentage, 2.1
Total, Brasov, December 2019, Percentage, 2
Total, Brasov, January 2020, Percentage, 2
Total, Brasov, February 2020, Percentage, 1.9
Total, Brasov, March 2020, Percentage, 1.9
Total, Brasov, April 2020, Percentage, 2.1
Total, Brasov, May 2020, Percentage, 2
Total, Brasov, June 2020, Percentage, 2.2
Total, Brasov, July 2020, Percentage, 2.4
Total, Brasov, August 2020, Percentage, 2.5
Total, Brasov, September 2020, Percentage, 2.6
Total, Brasov, October 2020, Percentage, 2.6
Total, Brasov, November 2020, Percentage, 2.7
Total, Brasov, December 2020, Percentage, 2.6
Total, Covasna, January 2019, Percentage, 3.7
Total, Covasna, February 2019, Percentage, 3.6
Total, Covasna, March 2019, Percentage, 3.5
Total, Covasna, April 2019, Percentage, 3.1
Total, Covasna, May 2019, Percentage, 3
Total, Covasna, June 2019, Percentage, 3.1
Total, Covasna, July 2019, Percentage, 3.2
Total, Covasna, August 2019, Percentage, 3.2
Total, Covasna, September 2019, Percentage, 3.3
Total, Covasna, October 2019, Percentage, 3.3
Total, Covasna, November 2019, Percentage, 3.3
Total, Covasna, December 2019, Percentage, 3.3
Total, Covasna, January 2020, Percentage, 3.1
Total, Covasna, February 2020, Percentage, 3.1
Total, Covasna, March 2020, Percentage, 3.1
Total, Covasna, April 2020, Percentage, 3.4
Total, Covasna, May 2020, Percentage, 3.7
Total, Covasna, June 2020, Percentage, 3.8
Total, Covasna, July 2020, Percentage, 4.5
Total, Covasna, August 2020, Percentage, 4.9
Total, Covasna, September 2020, Percentage, 5
Total, Covasna, October 2020, Percentage, 5.1
Total, Covasna, November 2020, Percentage, 5.2
Total, Covasna, December 2020, Percentage, 5.1
Total, Harghita, January 2019, Percentage, 4.2
Total, Harghita, February 2019, Percentage, 4.2
Total, Harghita, March 2019, Percentage, 4
Total, Harghita, April 2019, Percentage, 3.7
Total, Harghita, May 2019, Percentage, 3.6
